Node	Present	Multi	Gain	Loss	Expansions	Contractions	Group	Label
Legionella hackeliae	2862	128	359.3851565	155.9434706	58.92918194	11.70605661	Legionella	
Legionella brunensis ATCC 43878	2947	129	466.8238269	161.98227	62.20774	16.40782403	Legionella	
Legionellales bacterium RIFCSPHIGHO2 12 1	1537	299	306.2853649	995.7980095	253.4904889	16.04429674	Legionella	
Legionella spiritensis Mt St Helens 9	2600	129	511.6896688	237.4634224	73.92523731	14.2912175	Legionella	
Legionella rubrilucens WA 270A C2	2652	110	108.0629348	66.39448604	39.26770355	6.201522104	Legionella	
Legionella erythra SE 32A C8	2712	117	172.7068228	71.03837413	38.82258639	5.211044509	Legionella	
Putative Legionellales TARA121	1585	28	202.3935315	820.6184396	10.01840378	24.60607154	Legionella	
Legionella quinlivanii CDC 1442 AUS E	2742	82	199.7741478	162.9326148	20.41123899	9.245500099	Legionella	
Legionella birminghamensis CDC 1407 AL	2858	133	223.1894274	70.34789443	55.99157512	4.618065368	Legionella	
Legionella oakridgensis ATCC 33761 DSM	2351	150	493.5357105	155.7345087	102.4162587	8.513690086	Legionella	
Legionella londiniensis ATCC 49505	1996	47	232.6236108	249.822409	23.3166	7.656578346	Legionella	
Legionella adelaidensis 1762 AUS E	1996	45	313.0992529	323.1449556	21.04881661	9.425901824	Legionella	
Legionella israelensis Bercovier 4	2413	122	500.9347003	423.4984399	69.8972742	20.46753864	Legionella	
Legionella waltersii ATCC 51914	2810	202	521.8409926	292.9421363	112.4965589	24.02073862	Legionella	
Legionella pneumophila subsp pneumophil 1	2758	114	364.1557269	141.8570469	41.5421626	12.5503761	Legionella	
Legionella norrlandica LEGN	2493	155	327.0999608	369.8012808	102.2819261	24.58974105	Legionella	
Legionella shakespearei DSM 23087	2536	105	375.277767	484.2175078	44.87564141	29.81519365	Legionella	
Legionella worsleiensis ATCC 49508	2375	95	211.1684469	587.2200175	37.49760185	40.4779015	Legionella	
Legionella quateirensis ATCC 49507	3130	176	411.8221907	167.509966	73.77656224	8.639424292	Legionella	
Legionella moravica DSM 19234	2858	139	228.4330472	256.1208226	49.40858247	17.24679428	Legionella	
Legionella fallonii LLAP 10	3140	236	704.3668104	325.5980495	126.8402694	29.39001832	Legionella	
Legionella sp 40 6	2218	140	229.5512975	777.0487195	64.02795443	47.81371043	Legionella	
Legionella saoudiensis LH SWC	2885	182	448.7095782	329.2070002	82.32771054	28.71984431	Legionella	
Legionella drancourtii LLAP12	2949	260	542.5358172	365.6014947	148.7386249	26.17388895	Legionella	
Legionella gratiana Lyon 8420412	3082	170	219.988363	195.085888	56.92776736	33.14220589	Legionella	
Legionella santicrucis SC 63 C7	3498	337	353.8329635	177.8262071	179.9637614	19.38397704	Legionella	
Legionella sainthelensi ATCC 35248	3176	145	118.9882198	163.3631017	30.69269976	20.85684013	Legionella	
Legionella longbeachae NSW150	3116	177	194.2247076	298.5995895	67.68672642	34.90732776	Legionella	
Legionella cincinnatiensis CDC 72 OH 14	3124	144	178.7671569	326.1258493	31.93882194	44.85793611	Legionella	
Legionella steigerwaltii SC 18 C9	3180	153	195.7118735	250.0734097	40.01885171	30.20988096	Legionella	
Legionella steelei IMVS3376	3293	186	343.1105794	284.4721156	67.42683397	35.92263256	Legionella	
Legionella cherrii ORW	3125	151	175.2812116	269.0899328	36.92178128	32.10263463	Legionella	
Fluoribacter dumoffii NY 23	3136	171	283.1651227	261.8458713	50.5426201	25.75508034	Legionella	
Fluoribacter gormanii LS 13	3052	115	332.5400957	396.4476909	42.26747291	65.91003665	Legionella	
Legionella wadsworthii DSM 21896 ATCC 3	2893	109	313.2466112	539.4603296	42.12541712	65.23790851	Legionella	
Legionella tucsonensis ATCC 49180	2762	83	187.7847715	621.770777	15.72361552	60.04742081	Legionella	
Legionella anisa WA 316 C3	3371	286	344.2657645	169.25177	147.8224901	23.4322254	Legionella	
Legionella parisiensis PF 209 C C2	3306	191	210.0488762	165.6404916	52.38077516	20.83609758	Legionella	
Fluoribacter bozemanae WIGA	3199	202	302.1239879	364.7156033	72.32368955	46.12281392	Legionella	
Rifle ACD contigs ACD21 113	1101	92	163.3196281	154.6487505	59.91296247	3.598042771	Coxiella	
Gammaproteobacteria bacterium RBG 16 37 1	830	34	59.78140343	322.1105258	23.24219335	8.60955051	Coxiella	
Gammaproteobacteria bacterium GWE2 37 1 1	742	35	153.983681	529.1392119	15.56267982	8.126144089	Coxiella	
Coxiella sp DG 40	1269	182	454.0663046	433.6926587	70.24406791	12.25884685	Coxiella	
Gammaproteobacteria bacterium RIFCSPHI  2	1256	188	296.581458	602.6602105	158.8923148	13.23665672	Coxiella	
TARA PON MAG 00004	1184	61	215.2539133	478.2474969	27.92161589	10.65555355	Coxiella	
Gammaproteobacteria bacterium RIFCSPHI  5	907	97	237.9508419	819.7783349	81.12704525	11.95874952	Coxiella	
Gammaproteobacteria bacterium RIFCSPLO 16	1442	84	139.0893583	235.8238707	43.10616371	10.51896899	Coxiella	
Gammaproteobacteria bacterium RIFCSPHI 26	1473	65	153.4900184	173.9880216	34.47223987	8.618909893	Coxiella	
Gammaproteobacteria bacterium RIFCSPHI 23	1436	43	153.9351127	211.4331159	18.73025178	12.14786512	Coxiella	
Gammaproteobacteria bacterium RIFCSPHI	1458	152	247.421782	414.9839814	115.0357416	17.55156817	Coxiella	
Gammaproteobacteria bacterium RIFCSPHI  8	1360	217	349.8591056	455.6365443	170.5244295	9.815627027	Coxiella	
Coxiella sp RIFCSPHIGHO2 12 FULL 42 15	1217	52	218.7679731	467.5454118	21.79145484	11.28448117	Coxiella	
Coxiella sp RIFCSPHIGHO2 12 FULL 44 14	1143	113	195.0901994	398.8078326	92.53655995	7.005198757	Coxiella	
Coxiella like endosymbiont CRt	1169	249	141.8759956	20.8809123	144.9365643	0.271655779	Coxiella	
Coxiella endosymbiont of Amblyomma amer	556	3	0.002338523	492.0072553	1.008050446	3.393625739	Coxiella	
Coxiella burnetii RSA 493	1451	91	208.0154484	35.07054663	50.62416693	0.900796684	Coxiella	
Gammaproteobacteria bacterium RIFCSPLO 15	1230	46	241.529704	282.3664529	22.73821927	8.203232976	Coxiella	
Diplorickettsia massiliensis 20B	1258	208	190.7720465	83.15492033	166.8636476	0.597928501	Coxiella	
Putative Legionellales ERR323788	1364	46	106.059069	29.02407302	20.06775142	0.215540188	Coxiella	
Rickettsiella grylli	1222	68	76.10085407	97.32764258	37.83421475	3.235413347	Coxiella	
Ca Rickettsiella isopodorum RCFS May 20	1208	15	17.01051443	52.23730294	0.192560675	2.352604201	Coxiella	
Gammaproteobacteria bacterium RIFCSPHI 25	1636	110	442.5379811	266.4158115	54.38220807	4.591749507	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI 24	1035	44	163.4919554	280.0104801	22.15192279	7.850768458	Aquicella	
Gammaproteobacteria bacterium GWF2 41 1 1	889	58	74.81860434	447.9480234	38.37733062	13.1827336	Aquicella	
Gammaproteobacteria bacterium GWE2 42 3 1	1029	25	14.27033614	247.3997552	7.287418195	7.557592847	Aquicella	
Rifle ACD contigs ACD60 47	1554	136	188.8142454	252.2240822	98.83091346	11.10030519	Aquicella	
Rifle ACD contigs ACD45 151	1561	208	316.9677367	373.3775735	171.8318995	12.2553277	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI  3	1613	57	285.0720511	230.5380006	26.42383073	11.29620108	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI 1	1288	100	238.5979102	509.5711537	69.64277319	14.90352591	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI  4	1159	45	205.0085974	595.0622374	30.45602743	18.16270872	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI 28	1459	54	106.9645837	302.0067882	24.48630491	11.91511843	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI 27	1826	178	403.1606862	231.2028908	125.5914514	10.9447507	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI  6	1190	32	88.38624481	573.6028023	14.99563427	18.765575	Aquicella	
Rifle ACD contigs ACD46 373	1672	160	362.2932992	569.9636029	118.5110307	24.18079013	Aquicella	
Gammaproteobacteria bacterium RIFCSPHI  7	1027	36	131.7233014	984.393605	19.10774834	24.01653762	Aquicella	
Aquicella Siphonis	2071	117	369.0760559	280.1593372	52.77651913	13.9092157	Aquicella	
Aquicella Lusitana	1975	109	288.0304891	260.18707	50.98374486	13.62885767	Aquicella	
Francisella tularensis subsp tularensis	1230	62	155.9533534	447.3779549	36.95720492	6.847357666	Fangia/Francisella	
Fangia hongkongensis FSC776 DSM 21703	1811	153	435.4189266	145.8435281	83.08263752	4.344660677	Fangia/Francisella	
Halomonas huangheensis BJGMM B45	2888	329	753.1896527	561.9442384	181.6639266	25.16093033	Gamma	
Teredinibacter turnerae T7901	2765	252	851.042479	834.6705692	120.9001892	42.29165084	Gamma	
Alcanivorax dieselolei B5	3071	338	862.288521	539.9166112	158.9805063	31.00522053	Gamma	
Kangiella koreensis DSM 16069	2041	93	392.6629924	722.4001935	44.20599505	32.38222342	Gamma	
Pseudoalteromonas luteoviolacea S405424	3079	358	758.6064929	442.8355181	167.1389321	31.9929061	Gamma	
Shewanella oneidensis MR 1	2987	245	329.9528211	446.2622821	120.0800123	39.20332772	Gamma	
Escherichia coli str K 12 substr MG1655	2854	362	594.4719427	946.064514	170.4889742	66.81016712	Gamma	
Aeromonas hydrophila subsp hydrophila A	3169	275	246.42096	283.0135313	108.8145379	19.53256216	Gamma	
Mariprofundus ferrooxydans PV 1	1913	166	94.81753491	80.67547668	113.5313744	4.888782267	Outgroup	
1	1970.94046	41.4863979	117.9229588	265.4827895	6.980000029	9.744113233	Outgroup_anc	
2	2166.682891	49.29444095	0.003012709	34.80935048	0.000395464	1.778819296	Outgroup_anc	
3	2201.489229	51.08680217	160.8816326	99.06324092	9.090471228	4.165909989	Outgroup_anc	
4	2388.205872	77.89404494	518.3527989	88.46677212	33.6189949	3.356122266	Berkiella_anc	
5	1958.319845	36.4127249	556.5005851	282.4736103	17.18237858	8.056318424	Berkiella_anc	
6	2594.81559	81.41786475	167.5040806	89.41997786	12.21425416	5.961714643	Legionella_anc	
7	2685.219283	88.59615657	236.1410025	127.9247383	13.22003646	4.59290664	Legionella_anc	
8	2577.003019	81.01570433	72.51558726	12.24405604	7.527019446	0.505105786	Legionella_anc	
9	2516.731488	73.9462626	303.0313809	37.63797499	27.75890396	2.283776958	Legionella_anc	
10	2251.338082	45.19214548	64.27215616	2.672965408	5.199652323	0.153518627	Legionella_anc	
11	2189.738891	40.07646966	0.007451554	115.9099054	0.00127211	6.496700455	Legionella_anc	
12	2692.675036	77.7585489	498.813168	161.3322921	37.2267781	11.6017099	Legionella_anc	
13	2436.909998	48.5189482	40.66776144	108.781178	4.527681572	11.42646348	Legionella_anc	
14	2658.558314	74.6388224	85.67515157	69.27528067	11.97125446	4.858402438	Legionella_anc	
15	2642.158443	67.73917287	143.406514	6.271485274	11.71723663	0.462506462	Legionella_anc	
16	2505.023414	56.14581008	193.7930751	43.96382034	12.09363384	2.843744458	Legionella_anc	
17	2355.19416	45.5385322	116.1508229	66.59800778	4.794894376	5.923071496	Legionella_anc	
18	2305.641345	46.59228389	83.56488806	79.0086065	5.02814305	8.466666569	Legionella_anc	
19	2610.331551	73.16215843	400.7111396	116.1533418	26.58316938	7.405503763	Legionella_anc	
20	2325.773754	53.13446926	128.2332422	28.97213329	11.15096723	1.953534803	Legionella_anc	
21	2226.512645	44.01681706	12.9989077	72.8399125	0.971900544	5.449197724	Legionella_anc	
22	2705.158467	68.84980438	613.166651	111.2330921	25.73248613	4.609514381	Legionella_anc	
23	2203.224908	40.35485987	16.01869641	99.14743772	0.557528347	8.521931526	Legionella_anc	
24	2286.353649	48.83335672	28.55077233	43.28218601	2.070680481	3.451463981	Legionella_anc	
25	2301.085063	50.21017492	48.44757056	8.950424059	2.41834975	0.481303382	Legionella_anc	
26	2261.587917	48.26984044	13.55483318	46.75921809	0.752398464	2.739772514	Legionella_anc	
27	2013.198798	26.1990139	82.46316642	75.31007094	4.126451175	5.649185031	Legionella_anc	
28	2006.045703	28.14671702	61.95776614	350.704365	4.122865872	24.3494787	Legionella_anc	
29	2535.70132	75.10135878	99.04416711	144.4439907	10.38160967	12.8035451	Legionella_anc	
30	2581.101144	78.12369825	69.74658738	103.1245658	4.752853923	9.396136849	Legionella_anc	
31	2885.687775	103.0401403	166.9754671	32.33926225	13.24057182	3.432369496	Legionella_anc	
32	2751.051571	91.96501251	223.4009198	117.28909	19.30780436	10.35141691	Legionella_anc	
33	2644.939741	81.18884152	60.57257019	176.8640685	6.54438613	26.03855713	Legionella_anc	
34	2761.231239	102.3892497	13.36596668	54.62420786	1.128897169	7.176452415	Legionella_anc	
35	2765.497422	116.5077264	63.94665928	70.51491488	6.481967211	6.627615463	Legionella_anc	
36	2772.065678	116.5380564	181.4253801	185.8347377	23.22588831	16.9720687	Legionella_anc	
37	3220.374882	142.6584925	100.3967825	202.0151442	10.63721325	27.90298761	Legionella_anc	
38	3321.993244	162.0846947	96.43067296	45.79612175	11.07541537	8.029129323	Legionella_anc	
39	3271.358692	158.8264831	264.4615269	50.20035947	28.26217257	10.79955964	Legionella_anc	
40	3057.097525	140.1477984	368.8958528	226.4790547	27.01938211	17.33152298	Legionella_anc	
41	3234.361536	144.3766423	140.1396446	124.5868296	15.52140657	17.90478365	Legionella_anc	
42	3218.808721	146.8086257	161.2485516	57.12057896	15.2750178	9.432865726	Legionella_anc	
43	3114.680749	140.2540454	69.08138879	89.2329569	6.314383689	9.599867431	Legionella_anc	
44	3195.986006	150.0270091	24.30516225	62.27937317	3.491811369	9.08319792	Legionella_anc	
45	3261.591615	158.3196825	61.61669812	33.98529916	6.701518359	4.037519107	Legionella_anc	
46	3233.960216	155.642901	151.8619613	37.11546331	17.96536287	3.181470557	Legionella_anc	
47	3119.213718	140.1826948	100.0015141	96.6953909	11.36183134	11.43907008	Legionella_anc	
48	3115.907595	140.4320699	9.450589721	28.37531118	0.997685391	4.807401727	Legionella_anc	
49	3134.832317	144.2528478	290.7986227	70.64703291	23.6392608	4.973888994	Legionella_anc	
50	2914.680727	124.5332076	245.3496429	107.1439513	26.25298063	12.01566925	Legionella_anc	
51	2776.475035	109.8673309	145.6188416	171.6332867	13.85828623	12.54007652	Legionella_anc	
52	2802.48948	108.4748216	193.6102097	5.599851482	24.22361951	0.428562953	Legionella_anc	
53	2614.479122	82.9939092	338.9170842	60.00170172	29.06643595	3.96140924	Legionella_anc	
54	2335.56374	56.25981377	61.34944406	20.57800593	7.072501234	1.163650153	Legionella_anc	
55	2294.792301	50.26111127	588.900327	94.53942985	23.14576252	5.174250106	Legionella_anc	Legionella (55)
56	1800.431404	25.25471966	245.2569459	165.4877342	5.355416881	6.155412542	Legionella_anc	Legionella (56)
57	1720.662193	25.41416442	0.002919083	30.19863406	0.000149979	1.36100017	Legionella_anc	Legionellaceae (57)
58	1092.329122	19.24660443	86.66836457	111.4947731	3.534091555	3.331332598	Coxiella_anc	
59	1117.155531	18.97295293	71.713915	203.1847383	2.843148318	5.362241907	Coxiella_anc	
60	1248.626354	21.56413167	114.5525029	437.4096247	4.982470756	13.08729916	Coxiella_anc	
61	1493.498003	34.50348936	21.25106382	153.3152599	0.608220718	10.02852594	Coxiella_anc	
62	1625.562199	44.38734453	97.98035211	11.1526652	3.737550256	0.597442874	Coxiella_anc	
63	1538.734512	41.06687719	156.649952	106.7429326	14.70062434	5.444403614	Coxiella_anc	
64	1488.827493	31.24680341	121.9107989	80.0768895	7.768123271	3.316043644	Coxiella_anc	
65	1446.993584	26.66697483	3.10990292	90.93800785	0.136135792	2.839026139	Coxiella_anc	
66	1465.777439	26.61930918	22.69753827	25.41550335	1.310491197	1.295614022	Coxiella_anc	
67	1048.004917	7.674892421	0.024855984	230.0750374	0.001790198	5.227437534	Coxiella_anc	
68	1278.055098	15.38048644	68.98993889	137.652474	1.682624832	5.335368201	Coxiella_anc	
69	1346.717633	19.23821562	32.72735258	154.5051231	1.68892143	8.87987608	Coxiella_anc	
70	1468.495404	26.63567088	28.90609547	95.23238034	1.18210029	3.952340049	Coxiella_anc	
71	1534.821689	29.43468451	20.22326034	47.48032429	1.04162629	2.99396515	Coxiella_anc	
72	1562.078753	31.344668	70.47481821	79.87954166	3.538057465	2.977770833	Coxiella_anc	
73	1571.483476	30.67732039	25.83738784	26.38855769	1.311466956	0.847677806	Coxiella_anc	
74	1243.226789	16.36965491	23.55947964	67.29769518	0.086900651	2.023077255	Coxiella_anc	
75	1286.965004	18.52650637	153.9059417	17.32381144	5.554726667	0.781628714	Coxiella_anc	
76	1150.382874	13.6777339	172.9868484	293.4407234	5.81466592	6.095758262	Coxiella_anc	
77	1270.836749	14.49317451	19.86085358	321.0587505	0.571567704	14.38645502	Coxiella_anc	
78	1572.034646	30.20942796	5.343716421	38.14007532	0.323288486	2.308494641	Coxiella_anc	Coxiella (78)
79	1262.129419	29.07873359	276.9446871	166.3337926	15.66267707	5.223529707	Aquicella_anc	
80	1151.518525	17.34001896	84.88386035	393.243166	2.35053854	10.78019812	Aquicella_anc	
81	1459.87783	28.21475493	47.04342179	208.202171	2.868356696	8.381581814	Aquicella_anc	
82	1617.409837	37.08698546	113.7114019	105.4221011	7.076886671	6.333033987	Aquicella_anc	
83	1654.042205	41.34793736	132.4391432	104.4184893	7.557243543	6.037546736	Aquicella_anc	
84	1879.670304	52.34770259	47.38001614	149.7929938	3.911069867	8.690877961	Aquicella_anc	
85	1982.083281	57.44809102	35.38832526	0.461624837	2.073709103	0.042341317	Aquicella_anc	
86	1947.156581	55.37141472	294.9145791	22.97455571	13.07424023	1.093522796	Aquicella_anc	
87	1675.216558	41.51033428	95.08080185	45.885795	5.457401357	2.758786332	Aquicella_anc	
88	1626.021551	38.80309765	80.39025298	3.422342255	4.554589934	0.196079361	Aquicella_anc	
89	1549.05364	34.34905865	0.001109364	9.920712909	8.62E-05	0.646935019	Aquicella_anc	
90	1558.973243	34.99786607	18.59412888	18.08683489	0.859963718	1.113919708	Aquicella_anc	
91	1558.46595	35.29601563	43.32431424	93.97890066	2.211192679	3.220786492	Aquicella_anc	
92	1609.120536	36.3402967	187.8878056	199.8038492	11.15309481	9.282394583	Aquicella_anc	
93	1621.036579	34.47381337	75.31574655	59.1101718	3.504676862	1.270221336	Aquicella_anc	Aquicella (93)
94	1604.831005	32.20371192	96.44491362	242.4718165	11.40932557	5.69324986	Coxiella_anc	Coxiellaceae (94)
95	1750.857908	26.77998442	152.0416457	85.47660819	8.798273993	4.197697334	Deep_anc	LLCA ss (95)
96	1684.29287	21.27991977	97.90637646	76.99679726	3.39342684	2.449402137	Deep_anc	LLCA sl (96)
97	1663.383291	20.27075467	59.62510681	476.5545345	1.886148398	22.8820976	Deep_anc	LLCA Pisci (97)
98	1521.424602	24.02666184	221.6480466	780.5176665	8.596816449	25.36093944	Fangia_Francisella_anc	
99	2748.62809	94.65319624	88.97001112	37.09650658	6.987952727	2.596584869	Gamma_anc	
100	2696.754586	90.0490567	467.8806399	52.69369109	28.98803394	2.801127706	Gamma_anc	
101	3205.592571	179.2563746	513.2578969	410.9747866	62.39763127	23.51052836	Gamma_anc	
102	3103.309461	136.1631634	404.3241082	64.24367243	39.91750954	4.807834197	Gamma_anc	
103	2763.229025	97.51378039	502.8285961	110.336772	31.71434883	5.239999919	Gamma_anc	
104	2370.737201	67.49354169	154.0477218	64.87815758	10.24097626	3.058404291	Gamma_anc	
105	2281.567637	59.62619788	356.1233062	154.8498908	20.81351537	4.38688844	Gamma_anc	
106	2080.294221	42.29238068	1.58E-06	0.018498758	2.12E-07	0.000725395	Gamma_anc	
107	2080.312719	42.29310593	121.9133636	181.2714822	4.51799869	7.038905948	Deep_anc	LFL (107)
108	2139.670837	45.12754687	26.28260158	5.112055019	1.020264511	0.306033724	Outgroup_anc	
109	2118.500291	44.41066994	365.4401456	90.54336845	14.13723145	5.685692355	Outgroup_anc	
110	1843.603513	34.27297172	408.3904222	463.6448505	11.41498095	20.21528371	Outgroup_anc	
111	1898.857942	51.40341997	NA	NA	NA	NA	Outgroup_anc	
